book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,Total_Sales
15の愛情物語_original,1.0648378,1.8710943,18.872276,68.14962,50.689476,45.90379,0.84375,79.0
171.T'beau7_original,2.8416383,3.519091,60.74748,181.86485,99.33652,113.98295,0.59375,316.0
2024J1_J2J3選手名鑑original,0.03436716,0.1293087,0.81394094,2.1994982,69.53171,24.181717,1.0,1.0
2024プロ野球オール写真_名鑑,0.009383839,0.011965204,0.3675339,0.6005657,92.675766,31.214622,0.96875,0.0
20代で得た知見_original,0.9703027,1.2372018,17.859016,62.099373,33.560986,37.839794,0.71875,81.0
3分クッキング_original,5.6711245,7.802183,117.9973,362.95197,267.61688,249.52205,0.59375,742.0
47都道府県_女ひとりで行ってみよう,0.6362206,0.8040467,9.130225,40.718117,24.21605,24.688131,0.9375,38.0
52ヘルツのクジラたち_original,1.0413592,1.456129,23.39827,66.64699,41.695663,43.91364,0.796875,109.0
63.3年卓上日誌_original,3.2342782,4.38217,56.296272,206.9938,158.218,140.50269,0.484375,278.0
70歳からのスマホの使いこなし術_original,3.9138494,5.3916864,93.57074,250.48636,136.10262,160.05324,0.8125,560.0
80パターン_英語が止まらない！,0.915076,1.238608,17.306332,58.564865,34.12292,36.664707,0.609375,82.0
87歳現役トレーダーシゲルさんの教え_original,0.49134833,0.6970687,5.630863,31.446293,28.627628,21.901596,0.71875,26.0
898ぴきせいぞろい！ポケモン大図鑑_original,1.6173859,2.4983413,37.97681,103.512695,68.19849,69.895996,0.828125,161.0
AIRLINE_original,1.5488901,2.451075,26.69017,99.12897,74.527565,66.782234,0.703125,128.0
B.L.T._original,1.0650034,1.7239922,21.865984,68.16022,56.593964,48.873386,0.96875,103.0
BE-PAL_original,5.4758606,11.503283,114.36787,350.45508,226.67569,230.49956,0.8125,563.0
BEGIN_original,1.5300066,2.4011652,24.26289,97.920425,52.623352,58.26889,0.828125,126.0
CAPA_original,1.4763467,2.4829562,26.397184,94.48619,53.27558,58.05299,0.75,120.0
CARandDRIVER_original,0.7938962,1.4656149,13.621504,50.809357,35.916756,33.449207,0.796875,59.0
CARトップ_original,1.6055889,2.72971,33.826904,102.75769,53.98632,63.52364,0.796875,147.0
CQハムラジオ_original,0.40132698,0.7114529,4.244081,25.684927,44.13079,24.6866,1.0,0.0
Cut_original,0.9302452,2.6376438,20.445457,59.535694,55.41966,45.133606,0.96875,72.0
Cuugal_original,1.292877,2.8013215,22.635277,82.744125,57.962685,54.44736,0.859375,90.0
ESSE_original,6.170231,9.347521,125.85137,394.89478,190.44585,237.06401,0.734375,662.0
EX大衆_original,1.5856937,4.136878,28.055529,101.4844,81.02455,70.18816,0.890625,138.0
FINEBOYS_original,1.6326364,2.437831,24.908667,104.48873,76.82759,68.74166,0.90625,120.0
FPの教科書_3級,1.128132,1.5470029,27.591291,72.20045,39.509315,46.433685,0.84375,131.0
G-works_original,0.84119976,1.4655327,17.048376,53.836784,34.94244,35.275867,0.875,72.0
GIANKILLING_original,0.928874,1.3445768,19.095278,59.447937,45.03038,41.191196,1.0,60.0
GIAN_KILLINGoriginal,9.007727,21.508898,115.79181,576.4945,720.39685,470.89438,0.71875,577.0
GINZA_original,1.0462495,1.6276195,22.263897,66.95997,36.38051,41.868122,0.90625,95.0
Gファンタジー_original,1.8745675,4.0330987,36.689358,119.97232,89.53757,82.066414,0.90625,165.0
J-Wings_original,1.2998565,2.6098766,22.598495,83.19082,63.900963,56.563427,0.859375,105.0
JOOJ_original,5.8187237,20.242775,74.79181,372.39832,501.87842,316.35617,0.859375,372.0
JOUU_ジュール,1.1646559,2.0677607,20.490582,74.53798,41.98806,45.67221,0.875,83.0
JR時刻表_original,1.3246993,1.7014856,28.259886,84.780754,48.282433,53.774357,0.84375,121.0
JTB_小さな時刻表,2.4426372,3.435822,39.700684,156.32878,122.95991,106.329796,0.65625,184.0
JTB時刻表_original,1.689081,2.827025,33.982723,108.10118,86.9149,76.33294,0.828125,185.0
KINGダム_original,39.207947,100.39872,531.29535,2509.3086,3858.393,2299.6658,0.71875,2729.0
Kiss_original,2.0288136,5.0375094,42.02157,129.84407,108.6309,93.49884,0.90625,167.0
LDK_original,2.3902335,3.7909696,53.931202,152.97495,91.95549,99.620544,0.84375,374.0
LEE_original,9.982941,22.098846,164.22655,638.9082,619.16534,474.1,0.625,779.0
MIX_original,0.39567798,0.6014037,5.5477147,25.323391,17.391642,16.087584,0.953125,22.0
MOE_original,3.8912904,10.032076,68.124016,249.04259,281.8317,199.66609,0.765625,338.0
MONOQLO_monocro,1.7274069,2.4963226,36.668938,110.55404,58.14543,68.45614,0.765625,197.0
Myojo_ちっこいMyojo,4.1634817,6.316829,57.960876,266.46283,341.60837,222.0107,0.9375,259.0
NHK_きょうの健康,4.2548037,5.2483964,101.40945,272.30743,113.69403,162.4703,0.640625,629.0
NHK_しあわせ気分のフランス語,1.7318833,2.0875819,36.68109,110.84053,56.95738,68.15967,0.625,137.0
NHK_すてきにハンドメイド,3.6797009,5.025096,101.27166,235.50085,93.10802,143.29352,0.859375,596.0
NHK_ハングル講座書いてマスター！,1.3611197,1.6887623,18.633104,87.111664,47.33893,51.027897,0.671875,39.0
NHK_俳句,1.2797189,2.7422101,28.09917,81.90201,71.01483,60.33867,0.921875,140.0
NHK_短歌,0.63767207,0.9654516,11.951414,40.811012,29.548836,27.437088,0.890625,51.0
NHKテキスト_囲碁講座,1.7333112,2.2894142,45.23877,110.931915,52.342995,69.504555,0.625,18.0
NHKテレビハングルッ！_ナビ,1.7842555,2.6722155,37.401943,114.19235,75.13885,75.57772,0.828125,208.0
NHKテレビ中国語！_ナビ,1.6002761,2.5847776,31.688337,102.41767,57.726902,63.9443,0.828125,150.0
NHKラジオ_まいにちイタリア語,1.6708658,2.940567,39.962593,106.93541,68.87075,71.92292,0.796875,213.0
NHKラジオ_まいにちスペイン語,1.9959388,2.9389448,38.32146,127.74008,66.74482,77.60212,0.703125,199.0
NHKラジオ_まいにちドイツ語,1.6657165,2.2884374,33.64617,106.60586,53.662525,64.63818,0.734375,177.0
NHKラジオ_まいにちハングル講座,1.4734509,2.1711159,32.880783,94.30086,57.059296,61.413647,0.84375,182.0
NHKラジオ_まいにちフランス語,2.3355603,4.115611,48.754692,149.47586,106.59422,101.60825,0.859375,290.0
NHKラジオ_まいにちロシア語,0.76455104,1.1352695,14.304351,48.931267,27.441969,30.225863,0.9375,67.0
NHKラジオ_まいにち中国語,2.350064,3.7034957,50.076355,150.4041,89.10748,96.52932,0.84375,299.0
NHKラジオ_エンジョイ・シンプル・イン,1.1391433,1.4979014,32.944786,72.905174,45.611145,50.487034,0.9375,126.0
NHKラジオ_サブノート1日1文！集中ト,1.7156925,2.2319968,43.226257,109.80432,60.219208,71.08326,0.703125,205.0
NYLON_JAPAN,2.6502218,8.284292,42.549606,169.6142,199.98267,137.38216,0.875,208.0
N_original,1.3994148,1.8640307,31.690609,89.562546,57.067963,59.440372,0.90625,167.0
ONEPIECE_magazine,0.25806683,0.5302404,3.985563,16.516277,20.453613,13.651817,0.890625,15.0
ONEPIECE_original,76.20881,145.68015,1050.263,4877.364,6925.8066,4284.478,0.53125,5334.0
OZmagazine_original,1.7546391,2.4753265,31.563053,112.296906,70.562485,71.474144,0.703125,147.0
PASH_original,1.3852398,2.9624133,23.203094,88.65535,70.83191,60.896786,0.921875,92.0
PHP_original,2.4510777,3.4713876,49.564896,156.86897,88.716194,98.383354,0.671875,299.0
PHPくらしラク～る_original,1.1571857,1.7345368,23.380344,74.05988,41.315575,46.251934,0.8125,110.0
POTATO_original,2.107326,4.7941284,44.21618,134.86887,121.89711,100.32739,0.9375,194.0
RADIOLIFE_original,1.6968102,3.205793,31.773144,108.595856,74.26256,71.54385,0.75,154.0
SCALE_Aviationoriginal,0.99858063,2.868613,17.743307,63.90916,60.56809,47.40685,0.90625,67.0
STORY_original,2.796501,4.8034906,69.81651,178.97606,116.498795,121.763794,0.8125,330.0
THE21_original,0.91165733,1.2489183,16.146564,58.34607,31.092642,35.19509,0.84375,71.0
TOEICL&RTEST_出る単特急銀,0.86512685,1.0798441,14.135104,55.36812,28.473587,32.658936,0.703125,62.0
TOEICL&RTEST出る単特急金_original,2.0299878,2.4066942,44.903595,129.91922,61.81206,78.87829,0.71875,270.0
TVLIFE_首都圏版,26.958965,43.745853,472.7715,1725.3738,1687.5217,1295.2223,0.671875,1664.0
TVfan_original,8.8725195,20.674664,185.48257,567.84125,657.5236,470.28247,0.890625,981.0
TVnavi_首都圏版,6.4343023,14.837831,128.76169,411.79535,481.07343,340.5435,0.90625,619.0
TVstation_関東版,16.497934,28.578575,248.81091,1055.8678,1014.6775,773.1187,0.53125,1099.0
TVステーション東版_original,1.4183831,2.2105477,33.543266,90.77652,225.38481,116.5682,1.0,0.0
UOMO_original,1.7967569,2.999202,36.839962,114.99244,72.18867,74.67368,0.859375,178.0
VOCÉ_original,5.085451,14.289366,85.20097,325.46887,317.12143,242.59709,0.8125,340.0
VTuberスタイル_original,1.2139497,2.126134,22.641357,77.69278,52.225136,50.85309,0.734375,103.0
WINDBRAKER_original,0.48600852,0.7192805,9.056164,31.104546,20.00122,20.053976,0.875,27.0
WINDBREAKER_original,13.905296,18.548258,280.3592,889.93896,511.7406,560.67957,0.578125,691.0
cookpadplus_original,3.138985,5.590335,55.44126,200.89503,168.27574,141.53735,0.515625,262.0
hanako_original,2.4396605,3.169251,31.844288,156.13828,101.11119,96.364586,0.734375,193.0
honkowa_original,2.0410736,4.7937393,42.945946,130.62871,107.36568,93.64677,0.984375,215.0
inglishexress_original,0.8913528,1.3835367,16.89447,57.046577,32.46306,35.468037,0.8125,70.0
mini_original,0.76673853,1.9233624,11.970064,49.071266,58.93762,39.99298,0.96875,47.0
smart_original,1.3108749,2.2212994,21.547037,83.895996,59.822754,55.088593,0.890625,92.0
teskatripoca_original,0.96553236,1.2353108,18.212711,61.79407,36.640877,38.882553,0.921875,87.0
あかね噺_original,4.538145,7.7724247,93.45154,290.44128,183.29143,189.06142,0.734375,54.0
あっという間にかんたん年賀状_2025,8.955691,12.018732,141.21725,573.16425,572.90796,429.09647,0.390625,724.0
あっという間に完成_!!筆ぐるめ年,5.053529,6.746607,75.148254,323.42584,219.26575,205.94661,0.546875,377.0
あっという間に完成_!!筆まめ年賀,7.0922074,9.536153,107.2433,453.90128,459.80554,340.3167,0.421875,532.0
あなたが体験した怖い話_original,0.9915859,2.3526003,19.319485,63.4615,50.285095,44.35536,0.921875,86.0
あなたが殺したのは誰_original,0.19868648,0.32506126,2.3658292,12.715935,32.557556,15.879773,0.328125,5.0
あなたが誰かを殺した_original,0.21058604,0.29587156,1.4706708,13.477507,28.80941,14.585862,0.96875,6.0
あなたを疲れから救う休養学_original,1.0138488,1.2633779,20.219389,64.88632,36.937996,40.681236,0.9375,78.0
あの星が降る丘で、君とまた出会いたい_original,1.0552497,1.2939202,20.415192,67.53598,38.39135,42.114174,0.953125,88.0
あの花が咲く丘で、君とまた出会えたら_original,1.1655936,1.3789706,22.876614,74.59799,41.25344,46.242687,0.671875,88.0
あぶない刑事_DVDコレクション全国,0.14239806,0.2931353,1.7560854,9.113476,16.272783,9.047448,0.984375,6.0
ある閉ざされた雪の山荘で_original,0.5234238,0.6992743,7.629656,33.499123,21.76568,20.964819,0.96875,30.0
いちばんはじめの英文法_超基礎文法編,0.98077786,1.5132016,22.30669,62.769783,40.509846,41.862106,0.875,108.0
いちばん使いやすい家計ノート_2025,4.3589325,5.735077,75.4421,278.97168,271.6649,208.69289,0.421875,384.0
いっしょにあそぼう！まちがいさがし_original,1.1691036,2.0980027,24.360813,74.82263,45.096344,48.09326,0.828125,125.0
いつも幸せな人は、_original,2.3270326,8.817198,42.590454,148.93008,165.43549,118.985344,0.859375,191.0
いのちの車窓から_original,1.1174762,1.4788915,22.308487,71.51848,58.760406,50.862457,0.78125,103.0
いのちをまもる図鑑_original,1.529872,1.9778515,31.093262,97.911804,52.273643,60.42624,0.765625,157.0
うつ蝉_original,0.19575405,0.4008808,3.1046772,12.528259,28.300652,14.644528,1.0,11.0
うるわしの宵の月_original,0.94946057,1.1959034,18.27163,60.765476,62.930576,47.32256,1.0,66.0
おえかきひめ_original,1.4327052,2.1687431,25.177807,91.69313,62.848785,59.906574,0.78125,111.0
おおきく振りかぶって_original,6.634775,15.519694,85.3918,424.6256,502.92957,337.649,0.796875,425.0
おしごとそうだんセンター_original,0.7653571,0.978268,11.801499,48.982853,25.70371,28.829353,0.921875,50.0
おしりたんてい_あらたなるかいとう,0.600487,0.81693035,13.036514,38.431168,25.022911,25.496864,0.9375,41.0
おとなのデジタルＴＶナビ_original,3.2146935,7.1327095,65.048996,205.74039,228.04073,166.27669,0.890625,303.0
おとなの週末_original,6.576624,8.666742,136.74973,420.90393,193.73282,250.46216,0.78125,844.0
おひとりさま日和_original,0.5926662,0.6766688,7.2640676,37.930637,26.43269,23.8758,0.96875,34.0
おもしろアロー＆スケルトン_original,1.530082,3.179396,27.43998,97.92525,99.57904,74.98142,0.859375,128.0
お守りのことば_original,1.1763172,1.4047214,25.357323,75.2843,32.524796,44.388805,0.78125,107.0
お探し物は図書室まで_original,0.7351171,0.87269914,13.236715,47.047493,24.261889,28.182032,0.953125,57.0
お料理家計簿_講談社版,9.3534975,10.56003,140.23474,598.62384,700.775,479.87784,0.046875,718.0
お絵かきタイム_original,1.3285545,2.8725367,25.164532,85.02749,63.11882,57.77028,0.765625,115.0
かがみの孤城_original,0.55769014,0.79465866,9.853742,35.69217,24.136852,23.227587,0.96875,39.0
からかい上手の高木さん_original,0.22184965,0.28940102,3.6474094,14.198378,36.634136,18.159975,0.25,5.0
かんたんフリージング離乳食・幼児食_original,0.94311965,1.1941776,18.255152,60.359657,28.72371,35.779507,0.875,84.0
かんたん家計ノート_2025,10.820574,13.155503,171.4986,692.5167,751.36536,538.4602,0.265625,911.0
きたきた捕物帖_original,1.0709084,1.4796188,23.269564,68.53814,45.25576,45.68782,0.6875,111.0
きのう何食べた？_original,1.2206876,1.570382,27.728416,78.12401,125.702934,77.18512,0.953125,105.0
きみのお金は誰のため_original,0.7860508,0.96895677,15.447755,50.30725,33.347977,33.03433,0.953125,60.0
きょうの料理_おしえて志麻さん,0.96768594,1.2136377,17.963158,61.9319,29.112724,36.335926,0.8125,84.0
きらきらぴかぴか_original,0.93787974,1.2300258,16.29517,60.024303,30.73646,35.68531,0.78125,79.0
ぎょらん_original,0.9205394,1.21594,13.754784,58.91452,24.19166,32.286987,0.859375,62.0
くらのかみ_original,0.65113586,0.962193,14.238403,41.672695,27.935692,27.948929,0.921875,42.0
ぐらんぶる_original,1.5889457,2.2432404,32.157463,101.69253,127.6078,87.152596,0.8125,149.0
こいごころ_original,8.120472,13.866188,104.3918,519.7102,484.06573,369.38925,0.703125,520.0
こうして、人は老いていく_original,1.0097388,1.1991664,12.574113,64.62328,39.878876,39.025425,0.859375,57.0
こころ_original,0.71302634,0.81286746,9.3235655,45.633686,25.645264,26.867506,0.953125,42.0
この世にたやすい仕事はない_original,1.075418,1.6198785,26.98944,68.82675,41.81406,45.87675,0.890625,121.0
この音とまれ！_original,0.35153574,0.56518507,9.735836,22.498287,48.424484,26.886202,1.0,16.0
これが本当のＳＰＩ３だ！_original,0.81223154,1.0204165,16.40985,51.98282,26.267878,31.553514,0.921875,72.0
ころりんぽい_original,1.0434802,1.2766505,20.478813,66.78273,37.50679,41.589443,0.796875,98.0
しましまぐるぐる_original,1.0457733,1.4108777,19.92104,66.92949,36.56478,41.138435,0.765625,92.0
じい散歩_original,0.58315504,0.8330277,7.7236257,37.321922,30.369707,25.138418,0.4375,32.0
じゃらん_original,1.5352972,1.9880263,33.7527,98.25902,49.182045,60.39792,0.859375,178.0
すべての、白いものたちの_original,3.8305798,4.642095,67.23584,245.1571,78.40638,130.26643,0.78125,360.0
すべての恋が終_140字の忘れられない恋,0.59608877,0.8255712,10.372567,38.14968,25.239496,24.587248,0.921875,35.0
すべての恋が終わるとしても_original,0.7836721,0.97313815,11.392254,50.155014,30.99761,30.848291,0.875,42.0
そして誰もいなくなった_original,0.68334574,0.8608767,12.498045,43.734127,19.182922,25.138365,0.828125,46.0
その着せ替え人形は恋をする_original,23.739578,70.69109,310.88477,1519.333,2583.9385,1471.3854,0.421875,1545.0
たのしい幼稚園_original,2.6738396,4.251645,51.018745,171.12573,143.91833,122.020935,0.734375,213.0
だいじだいじどーこだ_original,0.8031238,1.0285497,15.116272,51.39992,27.267149,31.261114,0.921875,64.0
だるまさん_original,0.8692931,1.1880153,12.920002,55.634758,31.196396,33.250385,0.890625,60.0
だるまさんが_original,1.407537,2.073666,29.694872,90.08237,53.010773,57.596004,0.78125,148.0
ちいかわ_original,17.055695,32.450996,246.4931,1091.5645,1578.2783,972.112,0.328125,1224.0
ちいかわ_なんか小さくてかわ,6.2115707,16.543367,79.991806,397.54053,485.24115,320.9245,0.84375,398.0
ちはやふる_plusきみがため,0.42066848,0.6166392,7.2040877,26.922783,19.761456,17.962774,1.0,25.0
ちゃお_original,7.6189346,15.124994,160.06348,487.61182,448.882,365.51907,0.8125,807.0
つかめ！理科ダマン_original,4.072204,5.515935,93.59134,260.62106,121.17148,158.46129,0.859375,623.0
つかめ！理科ダマン_みんなが恐竜,1.1914604,1.6236607,27.835491,76.25346,43.966972,49.35198,0.78125,102.0
つり情報_original,1.7083502,2.7219918,31.948803,109.33441,70.67409,70.652435,0.796875,159.0
てれびくん_original,4.368743,13.025929,66.44598,279.59955,374.17703,240.07417,0.71875,297.0
てれコロスペシャル_original,5.6649942,13.31455,97.63375,362.55963,268.9673,243.05354,0.8125,469.0
てんつなぎメイト_original,0.5778171,0.878225,12.459002,36.980293,24.468666,24.635986,0.890625,56.0
てんと数字が大きい！漢字_てんつなぎフレン,0.5597363,0.9983342,12.116905,35.823124,22.876272,23.605433,0.9375,59.0
とってもつなげる_てんつなぎフレンズ,1.0554733,1.504245,16.453098,67.55029,36.601337,40.201572,0.890625,96.0
とっても面白い_アロー＆スケルトンフレン,1.5306034,2.6960838,33.149887,97.95862,68.38518,66.497894,0.8125,179.0
とにかく仕組み化_original,0.9602364,1.3873909,18.324783,61.455128,41.992477,40.590794,0.828125,81.0
ともだち_original,2.1432657,3.1504452,37.699635,137.169,111.69438,95.521,0.578125,174.0
とわの庭_original,0.8004058,1.1914068,11.835073,51.22597,32.591854,31.884298,0.78125,51.0
とんでもスキルで異世界放浪メシ_original,0.34310913,0.49488816,4.381829,21.958984,32.64555,19.66212,0.296875,15.0
どんないろがすき_original,1.0825131,1.4084948,18.98941,69.28084,35.041325,41.103855,0.734375,90.0
なかよし_original,1.5567117,3.3356686,26.880384,99.62955,90.097496,72.20248,0.890625,107.0
なぜ働いていると本が読めなくなるのか_original,1.1805408,1.5618075,30.504654,75.55461,42.673897,49.577717,0.953125,167.0
ねずみの初恋_original,0.7431734,0.946797,11.416651,47.5631,30.652931,29.877562,0.796875,42.0
ねーねー_original,1.1026864,1.2420292,10.450265,70.57193,41.120625,40.714275,0.78125,12.0
はじめての新ＮＩＳＡ＆ｉＤｅＣｏ_original,0.7865536,0.98194325,12.559505,50.33943,20.11433,27.67109,0.75,53.0
はじめの一歩_original,0.4530938,0.84000355,13.065614,28.998003,35.75784,25.940485,0.984375,27.0
はたらく細胞_original,1.8694675,2.8074229,36.137478,119.64592,99.41222,85.06521,0.703125,172.0
はっぴぃ！アロー＆スケルトン_original,0.7657401,2.4004374,11.319884,49.007366,63.79049,41.372578,0.90625,45.0
はやわざ年賀状_2025,14.785387,18.70699,208.10655,946.2648,1372.0188,842.13007,0.140625,1038.0
はやわざ筆ぐるめ年賀状_2025,6.8292084,8.553786,110.705475,437.06934,304.15347,283.97607,0.484375,559.0
はやわざ筆まめ_年賀状,6.5308123,8.290673,102.79988,417.972,453.26645,324.67944,0.28125,502.0
はらぺこあおむし_original,0.9016354,1.2114692,21.567001,57.704666,31.099775,36.79048,0.828125,112.0
